Date,Close
6/1/2021 16:00:00,63.69
6/2/2021 16:00:00,62.79
6/3/2021 16:00:00,60.6
6/4/2021 16:00:00,61
6/7/2021 16:00:00,61.37
6/8/2021 16:00:00,60.15
6/9/2021 16:00:00,61.77
6/10/2021 16:00:00,62.63
6/11/2021 16:00:00,64.09
6/14/2021 16:00:00,63.57
6/15/2021 16:00:00,62.28
6/16/2021 16:00:00,60.2
6/17/2021 16:00:00,62.29
6/18/2021 16:00:00,63.17
6/21/2021 16:00:00,63.6
6/22/2021 16:00:00,62.93
6/23/2021 16:00:00,66.35
6/24/2021 16:00:00,67.65
6/25/2021 16:00:00,67.67
6/28/2021 16:00:00,66.22
6/29/2021 16:00:00,67.57
6/30/2021 16:00:00,68.14
7/1/2021 16:00:00,67.66
7/2/2021 16:00:00,68.49
7/6/2021 16:00:00,69.06
7/7/2021 16:00:00,65.13
7/8/2021 16:00:00,61.96
7/9/2021 16:00:00,65.81
7/12/2021 16:00:00,64.79
7/13/2021 16:00:00,63.95
7/14/2021 16:00:00,62.47
7/15/2021 16:00:00,60.5
7/16/2021 16:00:00,59.31
7/19/2021 16:00:00,59.58
7/20/2021 16:00:00,62.33
7/21/2021 16:00:00,63.39
7/22/2021 16:00:00,62.97
7/23/2021 16:00:00,77.97
7/26/2021 16:00:00,76.32
7/27/2021 16:00:00,73.97
7/28/2021 16:00:00,76.16
7/29/2021 16:00:00,74.92
7/30/2021 16:00:00,74.42
8/2/2021 16:00:00,73.5
8/3/2021 16:00:00,73.38
8/4/2021 16:00:00,76.9
8/5/2021 16:00:00,77.32
8/6/2021 16:00:00,75.98
8/9/2021 16:00:00,78.15
8/10/2021 16:00:00,75.8
8/11/2021 16:00:00,76.53
8/12/2021 16:00:00,75.26
8/13/2021 16:00:00,74.62
8/16/2021 16:00:00,72.44
8/17/2021 16:00:00,71.81
8/18/2021 16:00:00,71.96
8/19/2021 16:00:00,70.86
8/20/2021 16:00:00,72.72
8/23/2021 16:00:00,75.5
8/24/2021 16:00:00,74.63
8/25/2021 16:00:00,74.69
8/26/2021 16:00:00,71.61
8/27/2021 16:00:00,73.12
8/30/2021 16:00:00,74.51
8/31/2021 16:00:00,76.11
9/1/2021 16:00:00,74.17
9/2/2021 16:00:00,73.92
9/3/2021 16:00:00,75.08
9/7/2021 16:00:00,76.49
9/8/2021 16:00:00,74.13
9/9/2021 16:00:00,74.62
9/10/2021 16:00:00,74.5
9/13/2021 16:00:00,71.26
9/14/2021 16:00:00,71.31
9/15/2021 16:00:00,73.62
9/16/2021 16:00:00,72.48
9/17/2021 16:00:00,74.76
9/20/2021 16:00:00,71.73
9/21/2021 16:00:00,76.09
